season,round,race_name,driver_number,driver_name,abbreviation,team,final_position,status,points_scored
2015,1,Australian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2015,1,Australian Grand Prix,6,Nico Rosberg,ROS,Mercedes,2,Finished,18.0
2015,1,Australian Grand Prix,5,Sebastian Vettel,VET,Ferrari,3,Finished,15.0
2015,1,Australian Grand Prix,19,Felipe Massa,MAS,Williams,4,Finished,12.0
2015,1,Australian Grand Prix,12,Felipe Nasr,NAS,Sauber,5,Finished,10.0
2015,1,Australian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,6,+1 Lap,8.0
2015,1,Australian Grand Prix,27,Nico Hülkenberg,HUL,Force India,7,+1 Lap,6.0
2015,1,Australian Grand Prix,9,Marcus Ericsson,ERI,Sauber,8,+1 Lap,4.0
2015,1,Australian Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,9,+1 Lap,2.0
2015,1,Australian Grand Prix,11,Sergio Pérez,PER,Force India,10,+1 Lap,1.0
2015,1,Australian Grand Prix,22,Jenson Button,BUT,McLaren,11,+2 Laps,0.0
2015,1,Australian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,R,Wheel,0.0
2015,1,Australian Grand Prix,33,Max Verstappen,VER,Toro Rosso,R,Engine,0.0
2015,1,Australian Grand Prix,8,Romain Grosjean,GRO,Lotus F1,R,Power loss,0.0
2015,1,Australian Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,R,Accident,0.0
2015,1,Australian Grand Prix,26,Daniil Kvyat,KVY,Red Bull,W,Withdrew,0.0
2015,1,Australian Grand Prix,20,Kevin Magnussen,MAG,McLaren,W,Withdrew,0.0
2015,1,Australian Grand Prix,77,Valtteri Bottas,BOT,Williams,W,Withdrew,0.0
2015,2,Malaysian Grand Prix,5,Sebastian Vettel,VET,Ferrari,1,Finished,25.0
2015,2,Malaysian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,2,Finished,18.0
2015,2,Malaysian Grand Prix,6,Nico Rosberg,ROS,Mercedes,3,Finished,15.0
2015,2,Malaysian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,4,Finished,12.0
2015,2,Malaysian Grand Prix,77,Valtteri Bottas,BOT,Williams,5,Finished,10.0
2015,2,Malaysian Grand Prix,19,Felipe Massa,MAS,Williams,6,Finished,8.0
2015,2,Malaysian Grand Prix,33,Max Verstappen,VER,Toro Rosso,7,Finished,6.0
2015,2,Malaysian Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,8,+1 Lap,4.0
2015,2,Malaysian Grand Prix,26,Daniil Kvyat,KVY,Red Bull,9,+1 Lap,2.0
2015,2,Malaysian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,10,+1 Lap,1.0
2015,2,Malaysian Grand Prix,8,Romain Grosjean,GRO,Lotus F1,11,+1 Lap,0.0
2015,2,Malaysian Grand Prix,12,Felipe Nasr,NAS,Sauber,12,+1 Lap,0.0
