season,round,race_name,driver_number,driver_name,abbreviation,team,final_position,status,points_scored
2015,2,Malaysian Grand Prix,11,Sergio Pérez,PER,Force India,13,+1 Lap,0.0
2015,2,Malaysian Grand Prix,27,Nico Hülkenberg,HUL,Force India,14,+1 Lap,0.0
2015,2,Malaysian Grand Prix,98,Roberto Merhi,MER,Manor Marussia,15,+3 Laps,0.0
2015,2,Malaysian Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,R,Retired,0.0
2015,2,Malaysian Grand Prix,22,Jenson Button,BUT,McLaren,R,Turbo,0.0
2015,2,Malaysian Grand Prix,14,Fernando Alonso,ALO,McLaren,R,ERS,0.0
2015,2,Malaysian Grand Prix,9,Marcus Ericsson,ERI,Sauber,R,Spun off,0.0
2015,2,Malaysian Grand Prix,28,Will Stevens,STE,Manor Marussia,W,Fuel system,0.0
2015,3,Chinese Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2015,3,Chinese Grand Prix,6,Nico Rosberg,ROS,Mercedes,2,Finished,18.0
2015,3,Chinese Grand Prix,5,Sebastian Vettel,VET,Ferrari,3,Finished,15.0
2015,3,Chinese Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,4,Finished,12.0
2015,3,Chinese Grand Prix,19,Felipe Massa,MAS,Williams,5,Finished,10.0
2015,3,Chinese Grand Prix,77,Valtteri Bottas,BOT,Williams,6,Finished,8.0
2015,3,Chinese Grand Prix,8,Romain Grosjean,GRO,Lotus F1,7,Finished,6.0
2015,3,Chinese Grand Prix,12,Felipe Nasr,NAS,Sauber,8,Finished,4.0
2015,3,Chinese Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,9,Finished,2.0
2015,3,Chinese Grand Prix,9,Marcus Ericsson,ERI,Sauber,10,+1 Lap,1.0
2015,3,Chinese Grand Prix,11,Sergio Pérez,PER,Force India,11,+1 Lap,0.0
2015,3,Chinese Grand Prix,14,Fernando Alonso,ALO,McLaren,12,+1 Lap,0.0
2015,3,Chinese Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,13,+1 Lap,0.0
2015,3,Chinese Grand Prix,22,Jenson Button,BUT,McLaren,14,+1 Lap,0.0
2015,3,Chinese Grand Prix,28,Will Stevens,STE,Manor Marussia,15,+2 Laps,0.0
2015,3,Chinese Grand Prix,98,Roberto Merhi,MER,Manor Marussia,16,+2 Laps,0.0
2015,3,Chinese Grand Prix,33,Max Verstappen,VER,Toro Rosso,17,Transmission,0.0
2015,3,Chinese Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,R,Brakes,0.0
2015,3,Chinese Grand Prix,26,Daniil Kvyat,KVY,Red Bull,R,Power Unit,0.0
2015,3,Chinese Grand Prix,27,Nico Hülkenberg,HUL,Force India,R,Gearbox,0.0
2015,4,Bahrain Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2015,4,Bahrain Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,2,Finished,18.0
2015,4,Bahrain Grand Prix,6,Nico Rosberg,ROS,Mercedes,3,Finished,15.0
2015,4,Bahrain Grand Prix,77,Valtteri Bottas,BOT,Williams,4,Finished,12.0
2015,4,Bahrain Grand Prix,5,Sebastian Vettel,VET,Ferrari,5,Finished,10.0
2015,4,Bahrain Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,6,Finished,8.0
2015,4,Bahrain Grand Prix,8,Romain Grosjean,GRO,Lotus F1,7,Finished,6.0
2015,4,Bahrain Grand Prix,11,Sergio Pérez,PER,Force India,8,+1 Lap,4.0
2015,4,Bahrain Grand Prix,26,Daniil Kvyat,KVY,Red Bull,9,+1 Lap,2.0
2015,4,Bahrain Grand Prix,19,Felipe Massa,MAS,Williams,10,+1 Lap,1.0
2015,4,Bahrain Grand Prix,14,Fernando Alonso,ALO,McLaren,11,+1 Lap,0.0
2015,4,Bahrain Grand Prix,12,Felipe Nasr,NAS,Sauber,12,+1 Lap,0.0
2015,4,Bahrain Grand Prix,27,Nico Hülkenberg,HUL,Force India,13,+1 Lap,0.0
2015,4,Bahrain Grand Prix,9,Marcus Ericsson,ERI,Sauber,14,+1 Lap,0.0
2015,4,Bahrain Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,15,+1 Lap,0.0
2015,4,Bahrain Grand Prix,28,Will Stevens,STE,Manor Marussia,16,+2 Laps,0.0
2015,4,Bahrain Grand Prix,98,Roberto Merhi,MER,Manor Marussia,17,+3 Laps,0.0
2015,4,Bahrain Grand Prix,33,Max Verstappen,VER,Toro Rosso,R,Electrical,0.0
2015,4,Bahrain Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,R,Engine,0.0
2015,4,Bahrain Grand Prix,22,Jenson Button,BUT,McLaren,W,ERS,0.0
2015,5,Spanish Grand Prix,6,Nico Rosberg,ROS,Mercedes,1,Finished,25.0
2015,5,Spanish Grand Prix,44,Lewis Hamilton,HAM,Mercedes,2,Finished,18.0
2015,5,Spanish Grand Prix,5,Sebastian Vettel,VET,Ferrari,3,Finished,15.0
2015,5,Spanish Grand Prix,77,Valtteri Bottas,BOT,Williams,4,Finished,12.0
2015,5,Spanish Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,5,Finished,10.0
2015,5,Spanish Grand Prix,19,Felipe Massa,MAS,Williams,6,Finished,8.0
2015,5,Spanish Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,7,+1 Lap,6.0
2015,5,Spanish Grand Prix,8,Romain Grosjean,GRO,Lotus F1,8,+1 Lap,4.0
2015,5,Spanish Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,9,+1 Lap,2.0
2015,5,Spanish Grand Prix,26,Daniil Kvyat,KVY,Red Bull,10,+1 Lap,1.0
2015,5,Spanish Grand Prix,33,Max Verstappen,VER,Toro Rosso,11,+1 Lap,0.0
2015,5,Spanish Grand Prix,12,Felipe Nasr,NAS,Sauber,12,+1 Lap,0.0
2015,5,Spanish Grand Prix,11,Sergio Pérez,PER,Force India,13,+1 Lap,0.0
2015,5,Spanish Grand Prix,9,Marcus Ericsson,ERI,Sauber,14,+1 Lap,0.0
2015,5,Spanish Grand Prix,27,Nico Hülkenberg,HUL,Force India,15,+1 Lap,0.0
2015,5,Spanish Grand Prix,22,Jenson Button,BUT,McLaren,16,+1 Lap,0.0
2015,5,Spanish Grand Prix,28,Will Stevens,STE,Manor Marussia,17,+3 Laps,0.0
2015,5,Spanish Grand Prix,98,Roberto Merhi,MER,Manor Marussia,18,+4 Laps,0.0
2015,5,Spanish Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,R,Accident,0.0
2015,5,Spanish Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Brakes,0.0
2015,6,Monaco Grand Prix,6,Nico Rosberg,ROS,Mercedes,1,Finished,25.0
2015,6,Monaco Grand Prix,5,Sebastian Vettel,VET,Ferrari,2,Finished,18.0
2015,6,Monaco Grand Prix,44,Lewis Hamilton,HAM,Mercedes,3,Finished,15.0
2015,6,Monaco Grand Prix,26,Daniil Kvyat,KVY,Red Bull,4,Finished,12.0
2015,6,Monaco Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,5,Finished,10.0
2015,6,Monaco Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,6,Finished,8.0
2015,6,Monaco Grand Prix,11,Sergio Pérez,PER,Force India,7,Finished,6.0
2015,6,Monaco Grand Prix,22,Jenson Button,BUT,McLaren,8,Finished,4.0
2015,6,Monaco Grand Prix,12,Felipe Nasr,NAS,Sauber,9,Finished,2.0
2015,6,Monaco Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,10,Finished,1.0
2015,6,Monaco Grand Prix,27,Nico Hülkenberg,HUL,Force India,11,Finished,0.0
2015,6,Monaco Grand Prix,8,Romain Grosjean,GRO,Lotus F1,12,Finished,0.0
2015,6,Monaco Grand Prix,9,Marcus Ericsson,ERI,Sauber,13,Finished,0.0
2015,6,Monaco Grand Prix,77,Valtteri Bottas,BOT,Williams,14,Finished,0.0
2015,6,Monaco Grand Prix,19,Felipe Massa,MAS,Williams,15,+1 Lap,0.0
2015,6,Monaco Grand Prix,98,Roberto Merhi,MER,Manor Marussia,16,+2 Laps,0.0
2015,6,Monaco Grand Prix,28,Will Stevens,STE,Manor Marussia,17,+2 Laps,0.0
2015,6,Monaco Grand Prix,33,Max Verstappen,VER,Toro Rosso,R,Accident,0.0
2015,6,Monaco Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Gearbox,0.0
2015,6,Monaco Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,R,Brakes,0.0
2015,7,Canadian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2015,7,Canadian Grand Prix,6,Nico Rosberg,ROS,Mercedes,2,Finished,18.0
2015,7,Canadian Grand Prix,77,Valtteri Bottas,BOT,Williams,3,Finished,15.0
2015,7,Canadian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,4,Finished,12.0
2015,7,Canadian Grand Prix,5,Sebastian Vettel,VET,Ferrari,5,Finished,10.0
2015,7,Canadian Grand Prix,19,Felipe Massa,MAS,Williams,6,Finished,8.0
2015,7,Canadian Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,7,Finished,6.0
2015,7,Canadian Grand Prix,27,Nico Hülkenberg,HUL,Force India,8,+1 Lap,4.0
2015,7,Canadian Grand Prix,26,Daniil Kvyat,KVY,Red Bull,9,+1 Lap,2.0
2015,7,Canadian Grand Prix,8,Romain Grosjean,GRO,Lotus F1,10,+1 Lap,1.0
2015,7,Canadian Grand Prix,11,Sergio Pérez,PER,Force India,11,+1 Lap,0.0
2015,7,Canadian Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,12,+1 Lap,0.0
2015,7,Canadian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,13,+1 Lap,0.0
2015,7,Canadian Grand Prix,9,Marcus Ericsson,ERI,Sauber,14,+1 Lap,0.0
2015,7,Canadian Grand Prix,33,Max Verstappen,VER,Toro Rosso,15,+1 Lap,0.0
2015,7,Canadian Grand Prix,12,Felipe Nasr,NAS,Sauber,16,+2 Laps,0.0
2015,7,Canadian Grand Prix,28,Will Stevens,STE,Manor Marussia,17,+4 Laps,0.0
2015,7,Canadian Grand Prix,98,Roberto Merhi,MER,Manor Marussia,R,Retired,0.0
2015,7,Canadian Grand Prix,22,Jenson Button,BUT,McLaren,R,Retired,0.0
2015,7,Canadian Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Engine,0.0
2015,8,Austrian Grand Prix,6,Nico Rosberg,ROS,Mercedes,1,Finished,25.0
2015,8,Austrian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,2,Finished,18.0
2015,8,Austrian Grand Prix,19,Felipe Massa,MAS,Williams,3,Finished,15.0
2015,8,Austrian Grand Prix,5,Sebastian Vettel,VET,Ferrari,4,Finished,12.0
2015,8,Austrian Grand Prix,77,Valtteri Bottas,BOT,Williams,5,Finished,10.0
2015,8,Austrian Grand Prix,27,Nico Hülkenberg,HUL,Force India,6,Finished,8.0
2015,8,Austrian Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,7,+1 Lap,6.0
2015,8,Austrian Grand Prix,33,Max Verstappen,VER,Toro Rosso,8,+1 Lap,4.0
2015,8,Austrian Grand Prix,11,Sergio Pérez,PER,Force India,9,+1 Lap,2.0
2015,8,Austrian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,10,+1 Lap,1.0
2015,8,Austrian Grand Prix,12,Felipe Nasr,NAS,Sauber,11,+1 Lap,0.0
2015,8,Austrian Grand Prix,26,Daniil Kvyat,KVY,Red Bull,12,+1 Lap,0.0
2015,8,Austrian Grand Prix,9,Marcus Ericsson,ERI,Sauber,13,+2 Laps,0.0
2015,8,Austrian Grand Prix,98,Roberto Merhi,MER,Manor Marussia,14,+3 Laps,0.0
2015,8,Austrian Grand Prix,8,Romain Grosjean,GRO,Lotus F1,R,Gearbox,0.0
2015,8,Austrian Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,R,Power loss,0.0
2015,8,Austrian Grand Prix,22,Jenson Button,BUT,McLaren,R,Retired,0.0
2015,8,Austrian Grand Prix,28,Will Stevens,STE,Manor Marussia,R,Oil leak,0.0
2015,8,Austrian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,R,Collision,0.0
2015,8,Austrian Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Collision,0.0
2015,9,British Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2015,9,British Grand Prix,6,Nico Rosberg,ROS,Mercedes,2,Finished,18.0
2015,9,British Grand Prix,5,Sebastian Vettel,VET,Ferrari,3,Finished,15.0
2015,9,British Grand Prix,19,Felipe Massa,MAS,Williams,4,Finished,12.0
2015,9,British Grand Prix,77,Valtteri Bottas,BOT,Williams,5,Finished,10.0
2015,9,British Grand Prix,26,Daniil Kvyat,KVY,Red Bull,6,Finished,8.0
2015,9,British Grand Prix,27,Nico Hülkenberg,HUL,Force India,7,Finished,6.0
2015,9,British Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,8,+1 Lap,4.0
2015,9,British Grand Prix,11,Sergio Pérez,PER,Force India,9,+1 Lap,2.0
2015,9,British Grand Prix,14,Fernando Alonso,ALO,McLaren,10,+1 Lap,1.0
2015,9,British Grand Prix,9,Marcus Ericsson,ERI,Sauber,11,+1 Lap,0.0
2015,9,British Grand Prix,98,Roberto Merhi,MER,Manor Marussia,12,+3 Laps,0.0
2015,9,British Grand Prix,28,Will Stevens,STE,Manor Marussia,13,+3 Laps,0.0
2015,9,British Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,R,Electrical,0.0
2015,9,British Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,R,Electrical,0.0
2015,9,British Grand Prix,33,Max Verstappen,VER,Toro Rosso,R,Spun off,0.0
2015,9,British Grand Prix,8,Romain Grosjean,GRO,Lotus F1,R,Collision,0.0
2015,9,British Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,R,Collision,0.0
2015,9,British Grand Prix,22,Jenson Button,BUT,McLaren,R,Collision,0.0
2015,9,British Grand Prix,12,Felipe Nasr,NAS,Sauber,W,Gearbox,0.0
2015,10,Hungarian Grand Prix,5,Sebastian Vettel,VET,Ferrari,1,Finished,25.0
2015,10,Hungarian Grand Prix,26,Daniil Kvyat,KVY,Red Bull,2,Finished,18.0
2015,10,Hungarian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,3,Finished,15.0
2015,10,Hungarian Grand Prix,33,Max Verstappen,VER,Toro Rosso,4,Finished,12.0
2015,10,Hungarian Grand Prix,14,Fernando Alonso,ALO,McLaren,5,Finished,10.0
2015,10,Hungarian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,6,Finished,8.0
2015,10,Hungarian Grand Prix,8,Romain Grosjean,GRO,Lotus F1,7,Finished,6.0
2015,10,Hungarian Grand Prix,6,Nico Rosberg,ROS,Mercedes,8,Finished,4.0
2015,10,Hungarian Grand Prix,22,Jenson Button,BUT,McLaren,9,Finished,2.0
2015,10,Hungarian Grand Prix,9,Marcus Ericsson,ERI,Sauber,10,Finished,1.0
2015,10,Hungarian Grand Prix,12,Felipe Nasr,NAS,Sauber,11,Finished,0.0
2015,10,Hungarian Grand Prix,19,Felipe Massa,MAS,Williams,12,Finished,0.0
2015,10,Hungarian Grand Prix,77,Valtteri Bottas,BOT,Williams,13,Finished,0.0
2015,10,Hungarian Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,14,Finished,0.0
2015,10,Hungarian Grand Prix,98,Roberto Merhi,MER,Manor Marussia,15,+2 Laps,0.0
2015,10,Hungarian Grand Prix,28,Will Stevens,STE,Manor Marussia,16,+4 Laps,0.0
2015,10,Hungarian Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,R,Electrical,0.0
2015,10,Hungarian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,R,Power Unit,0.0
2015,10,Hungarian Grand Prix,11,Sergio Pérez,PER,Force India,R,Suspension,0.0
2015,10,Hungarian Grand Prix,27,Nico Hülkenberg,HUL,Force India,R,Front wing,0.0
2015,11,Belgian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2015,11,Belgian Grand Prix,6,Nico Rosberg,ROS,Mercedes,2,Finished,18.0
2015,11,Belgian Grand Prix,8,Romain Grosjean,GRO,Lotus F1,3,Finished,15.0
2015,11,Belgian Grand Prix,26,Daniil Kvyat,KVY,Red Bull,4,Finished,12.0
2015,11,Belgian Grand Prix,11,Sergio Pérez,PER,Force India,5,Finished,10.0
2015,11,Belgian Grand Prix,19,Felipe Massa,MAS,Williams,6,Finished,8.0
2015,11,Belgian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,7,Finished,6.0
2015,11,Belgian Grand Prix,33,Max Verstappen,VER,Toro Rosso,8,Finished,4.0
2015,11,Belgian Grand Prix,77,Valtteri Bottas,BOT,Williams,9,Power Unit,2.0
2015,11,Belgian Grand Prix,9,Marcus Ericsson,ERI,Sauber,10,Finished,1.0
2015,11,Belgian Grand Prix,12,Felipe Nasr,NAS,Sauber,11,Finished,0.0
2015,11,Belgian Grand Prix,5,Sebastian Vettel,VET,Ferrari,12,Tyre,0.0
2015,11,Belgian Grand Prix,14,Fernando Alonso,ALO,McLaren,13,+1 Lap,0.0
2015,11,Belgian Grand Prix,22,Jenson Button,BUT,McLaren,14,+1 Lap,0.0
2015,11,Belgian Grand Prix,98,Roberto Merhi,MER,Manor Marussia,15,+1 Lap,0.0
2015,11,Belgian Grand Prix,28,Will Stevens,STE,Manor Marussia,16,+1 Lap,0.0
2015,11,Belgian Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,R,Power Unit,0.0
2015,11,Belgian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,R,Power Unit,0.0
2015,11,Belgian Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,R,Engine,0.0
2015,11,Belgian Grand Prix,27,Nico Hülkenberg,HUL,Force India,W,Power loss,0.0
2015,12,Italian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2015,12,Italian Grand Prix,5,Sebastian Vettel,VET,Ferrari,2,Finished,18.0
2015,12,Italian Grand Prix,19,Felipe Massa,MAS,Williams,3,Finished,15.0
2015,12,Italian Grand Prix,77,Valtteri Bottas,BOT,Williams,4,Finished,12.0
2015,12,Italian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,5,Finished,10.0
2015,12,Italian Grand Prix,11,Sergio Pérez,PER,Force India,6,Finished,8.0
2015,12,Italian Grand Prix,27,Nico Hülkenberg,HUL,Force India,7,+1 Lap,6.0
2015,12,Italian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,8,+1 Lap,4.0
2015,12,Italian Grand Prix,9,Marcus Ericsson,ERI,Sauber,9,+1 Lap,2.0
2015,12,Italian Grand Prix,26,Daniil Kvyat,KVY,Red Bull,10,+1 Lap,1.0
2015,12,Italian Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,11,+1 Lap,0.0
2015,12,Italian Grand Prix,33,Max Verstappen,VER,Toro Rosso,12,+1 Lap,0.0
2015,12,Italian Grand Prix,12,Felipe Nasr,NAS,Sauber,13,+1 Lap,0.0
2015,12,Italian Grand Prix,22,Jenson Button,BUT,McLaren,14,+1 Lap,0.0
2015,12,Italian Grand Prix,28,Will Stevens,STE,Manor Marussia,15,+2 Laps,0.0
2015,12,Italian Grand Prix,98,Roberto Merhi,MER,Manor Marussia,16,+2 Laps,0.0
2015,12,Italian Grand Prix,6,Nico Rosberg,ROS,Mercedes,17,+3 Laps,0.0
2015,12,Italian Grand Prix,14,Fernando Alonso,ALO,McLaren,18,+6 Laps,0.0
2015,12,Italian Grand Prix,8,Romain Grosjean,GRO,Lotus F1,R,Collision damage,0.0
2015,12,Italian Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,R,Collision damage,0.0
2015,13,Singapore Grand Prix,5,Sebastian Vettel,VET,Ferrari,1,Finished,25.0
2015,13,Singapore Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,2,Finished,18.0
2015,13,Singapore Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,3,Finished,15.0
2015,13,Singapore Grand Prix,6,Nico Rosberg,ROS,Mercedes,4,Finished,12.0
2015,13,Singapore Grand Prix,77,Valtteri Bottas,BOT,Williams,5,Finished,10.0
2015,13,Singapore Grand Prix,26,Daniil Kvyat,KVY,Red Bull,6,Finished,8.0
2015,13,Singapore Grand Prix,11,Sergio Pérez,PER,Force India,7,Finished,6.0
2015,13,Singapore Grand Prix,33,Max Verstappen,VER,Toro Rosso,8,Finished,4.0
2015,13,Singapore Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,9,Finished,2.0
2015,13,Singapore Grand Prix,12,Felipe Nasr,NAS,Sauber,10,Finished,1.0
2015,13,Singapore Grand Prix,9,Marcus Ericsson,ERI,Sauber,11,Finished,0.0
2015,13,Singapore Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,12,Finished,0.0
2015,13,Singapore Grand Prix,8,Romain Grosjean,GRO,Lotus F1,13,Tyre,0.0
2015,13,Singapore Grand Prix,53,Alexander Rossi,RSS,Manor Marussia,14,+2 Laps,0.0
2015,13,Singapore Grand Prix,28,Will Stevens,STE,Manor Marussia,15,+2 Laps,0.0
2015,13,Singapore Grand Prix,22,Jenson Button,BUT,McLaren,R,Gearbox,0.0
2015,13,Singapore Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Gearbox,0.0
2015,13,Singapore Grand Prix,44,Lewis Hamilton,HAM,Mercedes,R,Throttle,0.0
2015,13,Singapore Grand Prix,19,Felipe Massa,MAS,Williams,R,Gearbox,0.0
2015,13,Singapore Grand Prix,27,Nico Hülkenberg,HUL,Force India,R,Collision,0.0
2015,14,Japanese Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2015,14,Japanese Grand Prix,6,Nico Rosberg,ROS,Mercedes,2,Finished,18.0
2015,14,Japanese Grand Prix,5,Sebastian Vettel,VET,Ferrari,3,Finished,15.0
2015,14,Japanese Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,4,Finished,12.0
2015,14,Japanese Grand Prix,77,Valtteri Bottas,BOT,Williams,5,Finished,10.0
2015,14,Japanese Grand Prix,27,Nico Hülkenberg,HUL,Force India,6,Finished,8.0
2015,14,Japanese Grand Prix,8,Romain Grosjean,GRO,Lotus F1,7,Finished,6.0
2015,14,Japanese Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,8,Finished,4.0
2015,14,Japanese Grand Prix,33,Max Verstappen,VER,Toro Rosso,9,Finished,2.0
2015,14,Japanese Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,10,+1 Lap,1.0
2015,14,Japanese Grand Prix,14,Fernando Alonso,ALO,McLaren,11,+1 Lap,0.0
2015,14,Japanese Grand Prix,11,Sergio Pérez,PER,Force India,12,+1 Lap,0.0
2015,14,Japanese Grand Prix,26,Daniil Kvyat,KVY,Red Bull,13,+1 Lap,0.0
2015,14,Japanese Grand Prix,9,Marcus Ericsson,ERI,Sauber,14,+1 Lap,0.0
2015,14,Japanese Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,15,+1 Lap,0.0
2015,14,Japanese Grand Prix,22,Jenson Button,BUT,McLaren,16,+1 Lap,0.0
2015,14,Japanese Grand Prix,19,Felipe Massa,MAS,Williams,17,+2 Laps,0.0
2015,14,Japanese Grand Prix,53,Alexander Rossi,RSS,Manor Marussia,18,+2 Laps,0.0
2015,14,Japanese Grand Prix,28,Will Stevens,STE,Manor Marussia,19,+3 Laps,0.0
2015,14,Japanese Grand Prix,12,Felipe Nasr,NAS,Sauber,R,Retired,0.0
2015,15,Russian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2015,15,Russian Grand Prix,5,Sebastian Vettel,VET,Ferrari,2,Finished,18.0
2015,15,Russian Grand Prix,11,Sergio Pérez,PER,Force India,3,Finished,15.0
2015,15,Russian Grand Prix,19,Felipe Massa,MAS,Williams,4,Finished,12.0
2015,15,Russian Grand Prix,26,Daniil Kvyat,KVY,Red Bull,5,Finished,10.0
2015,15,Russian Grand Prix,12,Felipe Nasr,NAS,Sauber,6,Finished,8.0
2015,15,Russian Grand Prix,13,Pastor Maldonado,MAL,Lotus F1,7,Finished,6.0
2015,15,Russian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,8,Finished,4.0
2015,15,Russian Grand Prix,22,Jenson Button,BUT,McLaren,9,Finished,2.0
2015,15,Russian Grand Prix,33,Max Verstappen,VER,Toro Rosso,10,Finished,1.0
2015,15,Russian Grand Prix,14,Fernando Alonso,ALO,McLaren,11,Finished,0.0
2015,15,Russian Grand Prix,77,Valtteri Bottas,BOT,Williams,12,Collision,0.0
