season,round,race_name,driver_number,driver_name,abbreviation,team,final_position,status,points_scored
2017,1,Australian Grand Prix,5,Sebastian Vettel,VET,Ferrari,1,Finished,25.0
2017,1,Australian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,2,Finished,18.0
2017,1,Australian Grand Prix,77,Valtteri Bottas,BOT,Mercedes,3,Finished,15.0
2017,1,Australian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,4,Finished,12.0
2017,1,Australian Grand Prix,33,Max Verstappen,VER,Red Bull,5,Finished,10.0
2017,1,Australian Grand Prix,19,Felipe Massa,MAS,Williams,6,Finished,8.0
2017,1,Australian Grand Prix,11,Sergio Pérez,PER,Force India,7,+1 Lap,6.0
2017,1,Australian Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,8,+1 Lap,4.0
2017,1,Australian Grand Prix,26,Daniil Kvyat,KVY,Toro Rosso,9,+1 Lap,2.0
2017,1,Australian Grand Prix,31,Esteban Ocon,OCO,Force India,10,+1 Lap,1.0
2017,1,Australian Grand Prix,27,Nico Hülkenberg,HUL,Renault,11,+1 Lap,0.0
2017,1,Australian Grand Prix,36,Antonio Giovinazzi,GIO,Sauber,12,+2 Laps,0.0
2017,1,Australian Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,13,+2 Laps,0.0
2017,1,Australian Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Vibrations,0.0
2017,1,Australian Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,R,Suspension,0.0
2017,1,Australian Grand Prix,18,Lance Stroll,STR,Williams,R,Brakes,0.0
2017,1,Australian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,R,Power Unit,0.0
2017,1,Australian Grand Prix,9,Marcus Ericsson,ERI,Sauber,R,Hydraulics,0.0
2017,1,Australian Grand Prix,30,Jolyon Palmer,PAL,Renault,R,Brakes,0.0
2017,1,Australian Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,R,Water leak,0.0
2017,2,Chinese Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2017,2,Chinese Grand Prix,5,Sebastian Vettel,VET,Ferrari,2,Finished,18.0
