season,round,race_name,driver_number,driver_name,abbreviation,team,final_position,status,points_scored
2018,2,Bahrain Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,13,+1 Lap,0.0
2018,2,Bahrain Grand Prix,18,Lance Stroll,STR,Williams,14,+1 Lap,0.0
2018,2,Bahrain Grand Prix,35,Sergey Sirotkin,SIR,Williams,15,+1 Lap,0.0
2018,2,Bahrain Grand Prix,11,Sergio Perez,PER,Force India,16,+1 Lap,0.0
2018,2,Bahrain Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,17,+1 Lap,0.0
2018,2,Bahrain Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,R,Wheel,0.0
2018,2,Bahrain Grand Prix,33,Max Verstappen,VER,Red Bull Racing,R,Puncture,0.0
2018,2,Bahrain Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,R,Electrical,0.0
2018,3,Chinese Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,1,Finished,25.0
2018,3,Chinese Grand Prix,77,Valtteri Bottas,BOT,Mercedes,2,Finished,18.0
2018,3,Chinese Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,3,Finished,15.0
2018,3,Chinese Grand Prix,44,Lewis Hamilton,HAM,Mercedes,4,Finished,12.0
2018,3,Chinese Grand Prix,33,Max Verstappen,VER,Red Bull Racing,5,Finished,10.0
2018,3,Chinese Grand Prix,27,Nico Hulkenberg,HUL,Renault,6,Finished,8.0
2018,3,Chinese Grand Prix,14,Fernando Alonso,ALO,McLaren,7,Finished,6.0
2018,3,Chinese Grand Prix,5,Sebastian Vettel,VET,Ferrari,8,Finished,4.0
2018,3,Chinese Grand Prix,55,Carlos Sainz,SAI,Renault,9,Finished,2.0
2018,3,Chinese Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,10,Finished,1.0
2018,3,Chinese Grand Prix,31,Esteban Ocon,OCO,Force India,11,Finished,0.0
2018,3,Chinese Grand Prix,11,Sergio Perez,PER,Force India,12,Finished,0.0
2018,3,Chinese Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,13,Finished,0.0
2018,3,Chinese Grand Prix,18,Lance Stroll,STR,Williams,14,Finished,0.0
2018,3,Chinese Grand Prix,35,Sergey Sirotkin,SIR,Williams,15,Finished,0.0
2018,3,Chinese Grand Prix,9,Marcus Ericsson,ERI,Sauber,16,Finished,0.0
2018,3,Chinese Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,17,Finished,0.0
2018,3,Chinese Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,18,Finished,0.0
2018,3,Chinese Grand Prix,16,Charles Leclerc,LEC,Sauber,19,Finished,0.0
2018,3,Chinese Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,20,Collision damage,0.0
2018,4,Azerbaijan Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2018,4,Azerbaijan Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,2,Finished,18.0
2018,4,Azerbaijan Grand Prix,11,Sergio Perez,PER,Force India,3,Finished,15.0
2018,4,Azerbaijan Grand Prix,5,Sebastian Vettel,VET,Ferrari,4,Finished,12.0
2018,4,Azerbaijan Grand Prix,55,Carlos Sainz,SAI,Renault,5,Finished,10.0
2018,4,Azerbaijan Grand Prix,16,Charles Leclerc,LEC,Sauber,6,Finished,8.0
2018,4,Azerbaijan Grand Prix,14,Fernando Alonso,ALO,McLaren,7,Finished,6.0
2018,4,Azerbaijan Grand Prix,18,Lance Stroll,STR,Williams,8,Finished,4.0
2018,4,Azerbaijan Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,9,Finished,2.0
2018,4,Azerbaijan Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,10,Finished,1.0
2018,4,Azerbaijan Grand Prix,9,Marcus Ericsson,ERI,Sauber,11,Finished,0.0
2018,4,Azerbaijan Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,12,Finished,0.0
2018,4,Azerbaijan Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,13,Finished,0.0
2018,4,Azerbaijan Grand Prix,77,Valtteri Bottas,BOT,Mercedes,R,Puncture,0.0
2018,4,Azerbaijan Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,R,Accident,0.0
2018,4,Azerbaijan Grand Prix,33,Max Verstappen,VER,Red Bull Racing,R,Collision,0.0
2018,4,Azerbaijan Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,R,Collision,0.0
2018,4,Azerbaijan Grand Prix,27,Nico Hulkenberg,HUL,Renault,R,Accident,0.0
2018,4,Azerbaijan Grand Prix,31,Esteban Ocon,OCO,Force India,R,Collision,0.0
2018,4,Azerbaijan Grand Prix,35,Sergey Sirotkin,SIR,Williams,R,Collision,0.0
2018,5,Spanish Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2018,5,Spanish Grand Prix,77,Valtteri Bottas,BOT,Mercedes,2,Finished,18.0
2018,5,Spanish Grand Prix,33,Max Verstappen,VER,Red Bull Racing,3,Finished,15.0
2018,5,Spanish Grand Prix,5,Sebastian Vettel,VET,Ferrari,4,Finished,12.0
2018,5,Spanish Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,5,Finished,10.0
2018,5,Spanish Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,6,+1 Lap,8.0
2018,5,Spanish Grand Prix,55,Carlos Sainz,SAI,Renault,7,+1 Lap,6.0
2018,5,Spanish Grand Prix,14,Fernando Alonso,ALO,McLaren,8,+1 Lap,4.0
2018,5,Spanish Grand Prix,11,Sergio Perez,PER,Force India,9,+2 Laps,2.0
2018,5,Spanish Grand Prix,16,Charles Leclerc,LEC,Sauber,10,+2 Laps,1.0
2018,5,Spanish Grand Prix,18,Lance Stroll,STR,Williams,11,+2 Laps,0.0
2018,5,Spanish Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,12,+2 Laps,0.0
2018,5,Spanish Grand Prix,9,Marcus Ericsson,ERI,Sauber,13,+2 Laps,0.0
2018,5,Spanish Grand Prix,35,Sergey Sirotkin,SIR,Williams,14,+3 Laps,0.0
2018,5,Spanish Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,R,Gearbox,0.0
2018,5,Spanish Grand Prix,31,Esteban Ocon,OCO,Force India,R,Oil leak,0.0
2018,5,Spanish Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,R,Turbo,0.0
2018,5,Spanish Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,R,Collision,0.0
2018,5,Spanish Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,R,Collision,0.0
2018,5,Spanish Grand Prix,27,Nico Hulkenberg,HUL,Renault,R,Collision,0.0
2018,6,Monaco Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,1,Finished,25.0
2018,6,Monaco Grand Prix,5,Sebastian Vettel,VET,Ferrari,2,Finished,18.0
2018,6,Monaco Grand Prix,44,Lewis Hamilton,HAM,Mercedes,3,Finished,15.0
2018,6,Monaco Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,4,Finished,12.0
2018,6,Monaco Grand Prix,77,Valtteri Bottas,BOT,Mercedes,5,Finished,10.0
2018,6,Monaco Grand Prix,31,Esteban Ocon,OCO,Force India,6,Finished,8.0
2018,6,Monaco Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,7,Finished,6.0
2018,6,Monaco Grand Prix,27,Nico Hulkenberg,HUL,Renault,8,Finished,4.0
2018,6,Monaco Grand Prix,33,Max Verstappen,VER,Red Bull Racing,9,Finished,2.0
2018,6,Monaco Grand Prix,55,Carlos Sainz,SAI,Renault,10,Finished,1.0
2018,6,Monaco Grand Prix,9,Marcus Ericsson,ERI,Sauber,11,Finished,0.0
2018,6,Monaco Grand Prix,11,Sergio Perez,PER,Force India,12,Finished,0.0
2018,6,Monaco Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,13,Finished,0.0
2018,6,Monaco Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,14,+1 Lap,0.0
2018,6,Monaco Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,15,+1 Lap,0.0
2018,6,Monaco Grand Prix,35,Sergey Sirotkin,SIR,Williams,16,+1 Lap,0.0
2018,6,Monaco Grand Prix,18,Lance Stroll,STR,Williams,17,+2 Laps,0.0
2018,6,Monaco Grand Prix,16,Charles Leclerc,LEC,Sauber,R,Collision,0.0
2018,6,Monaco Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,R,Collision,0.0
2018,6,Monaco Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Gearbox,0.0
2018,7,Canadian Grand Prix,5,Sebastian Vettel,VET,Ferrari,1,Finished,25.0
2018,7,Canadian Grand Prix,77,Valtteri Bottas,BOT,Mercedes,2,Finished,18.0
2018,7,Canadian Grand Prix,33,Max Verstappen,VER,Red Bull Racing,3,Finished,15.0
2018,7,Canadian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,4,Finished,12.0
2018,7,Canadian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,5,Finished,10.0
2018,7,Canadian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,6,Finished,8.0
2018,7,Canadian Grand Prix,27,Nico Hulkenberg,HUL,Renault,7,+1 Lap,6.0
2018,7,Canadian Grand Prix,55,Carlos Sainz,SAI,Renault,8,+1 Lap,4.0
2018,7,Canadian Grand Prix,31,Esteban Ocon,OCO,Force India,9,+1 Lap,2.0
2018,7,Canadian Grand Prix,16,Charles Leclerc,LEC,Sauber,10,+1 Lap,1.0
2018,7,Canadian Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,11,+1 Lap,0.0
2018,7,Canadian Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,12,+1 Lap,0.0
2018,7,Canadian Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,13,+1 Lap,0.0
2018,7,Canadian Grand Prix,11,Sergio Perez,PER,Force India,14,+1 Lap,0.0
2018,7,Canadian Grand Prix,9,Marcus Ericsson,ERI,Sauber,15,+2 Laps,0.0
2018,7,Canadian Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,16,+2 Laps,0.0
2018,7,Canadian Grand Prix,35,Sergey Sirotkin,SIR,Williams,17,+2 Laps,0.0
2018,7,Canadian Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Exhaust,0.0
2018,7,Canadian Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,R,Collision,0.0
2018,7,Canadian Grand Prix,18,Lance Stroll,STR,Williams,R,Collision,0.0
2018,8,French Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2018,8,French Grand Prix,33,Max Verstappen,VER,Red Bull Racing,2,Finished,18.0
2018,8,French Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,3,Finished,15.0
2018,8,French Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,4,Finished,12.0
2018,8,French Grand Prix,5,Sebastian Vettel,VET,Ferrari,5,Finished,10.0
2018,8,French Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,6,Finished,8.0
2018,8,French Grand Prix,77,Valtteri Bottas,BOT,Mercedes,7,Finished,6.0
2018,8,French Grand Prix,55,Carlos Sainz,SAI,Renault,8,Finished,4.0
2018,8,French Grand Prix,27,Nico Hulkenberg,HUL,Renault,9,Finished,2.0
2018,8,French Grand Prix,16,Charles Leclerc,LEC,Sauber,10,Finished,1.0
2018,8,French Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,11,+1 Lap,0.0
2018,8,French Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,12,+1 Lap,0.0
2018,8,French Grand Prix,9,Marcus Ericsson,ERI,Sauber,13,+1 Lap,0.0
2018,8,French Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,14,+1 Lap,0.0
2018,8,French Grand Prix,35,Sergey Sirotkin,SIR,Williams,15,+1 Lap,0.0
2018,8,French Grand Prix,14,Fernando Alonso,ALO,McLaren,16,Wheel,0.0
2018,8,French Grand Prix,18,Lance Stroll,STR,Williams,17,Puncture,0.0
2018,8,French Grand Prix,11,Sergio Perez,PER,Force India,R,Engine,0.0
2018,8,French Grand Prix,31,Esteban Ocon,OCO,Force India,R,Collision,0.0
2018,8,French Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,R,Collision,0.0
2018,9,Austrian Grand Prix,33,Max Verstappen,VER,Red Bull Racing,1,Finished,25.0
2018,9,Austrian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,2,Finished,18.0
2018,9,Austrian Grand Prix,5,Sebastian Vettel,VET,Ferrari,3,Finished,15.0
2018,9,Austrian Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,4,+1 Lap,12.0
2018,9,Austrian Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,5,+1 Lap,10.0
2018,9,Austrian Grand Prix,31,Esteban Ocon,OCO,Force India,6,+1 Lap,8.0
2018,9,Austrian Grand Prix,11,Sergio Perez,PER,Force India,7,+1 Lap,6.0
2018,9,Austrian Grand Prix,14,Fernando Alonso,ALO,McLaren,8,+1 Lap,4.0
2018,9,Austrian Grand Prix,16,Charles Leclerc,LEC,Sauber,9,+1 Lap,2.0
2018,9,Austrian Grand Prix,9,Marcus Ericsson,ERI,Sauber,10,+1 Lap,1.0
2018,9,Austrian Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,11,+1 Lap,0.0
2018,9,Austrian Grand Prix,55,Carlos Sainz,SAI,Renault,12,+1 Lap,0.0
2018,9,Austrian Grand Prix,35,Sergey Sirotkin,SIR,Williams,13,+2 Laps,0.0
2018,9,Austrian Grand Prix,18,Lance Stroll,STR,Williams,14,+2 Laps,0.0
2018,9,Austrian Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,15,Collision damage,0.0
2018,9,Austrian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,R,Fuel pressure,0.0
2018,9,Austrian Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,R,Hydraulics,0.0
2018,9,Austrian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,R,Exhaust,0.0
2018,9,Austrian Grand Prix,77,Valtteri Bottas,BOT,Mercedes,R,Hydraulics,0.0
2018,9,Austrian Grand Prix,27,Nico Hulkenberg,HUL,Renault,R,Engine,0.0
2018,10,British Grand Prix,5,Sebastian Vettel,VET,Ferrari,1,Finished,25.0
2018,10,British Grand Prix,44,Lewis Hamilton,HAM,Mercedes,2,Finished,18.0
2018,10,British Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,3,Finished,15.0
2018,10,British Grand Prix,77,Valtteri Bottas,BOT,Mercedes,4,Finished,12.0
2018,10,British Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,5,Finished,10.0
2018,10,British Grand Prix,27,Nico Hulkenberg,HUL,Renault,6,Finished,8.0
2018,10,British Grand Prix,31,Esteban Ocon,OCO,Force India,7,Finished,6.0
2018,10,British Grand Prix,14,Fernando Alonso,ALO,McLaren,8,Finished,4.0
2018,10,British Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,9,Finished,2.0
2018,10,British Grand Prix,11,Sergio Perez,PER,Force India,10,Finished,1.0
2018,10,British Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,11,Finished,0.0
2018,10,British Grand Prix,18,Lance Stroll,STR,Williams,12,Finished,0.0
2018,10,British Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,13,Finished,0.0
2018,10,British Grand Prix,35,Sergey Sirotkin,SIR,Williams,14,Finished,0.0
2018,10,British Grand Prix,33,Max Verstappen,VER,Red Bull Racing,R,Brakes,0.0
2018,10,British Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,R,Collision,0.0
2018,10,British Grand Prix,55,Carlos Sainz,SAI,Renault,R,Collision,0.0
2018,10,British Grand Prix,9,Marcus Ericsson,ERI,Sauber,R,Accident,0.0
2018,10,British Grand Prix,16,Charles Leclerc,LEC,Sauber,R,Tyre,0.0
2018,10,British Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,R,Power Unit,0.0
2018,11,German Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2018,11,German Grand Prix,77,Valtteri Bottas,BOT,Mercedes,2,Finished,18.0
2018,11,German Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,3,Finished,15.0
2018,11,German Grand Prix,33,Max Verstappen,VER,Red Bull Racing,4,Finished,12.0
2018,11,German Grand Prix,27,Nico Hulkenberg,HUL,Renault,5,Finished,10.0
2018,11,German Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,6,Finished,8.0
2018,11,German Grand Prix,11,Sergio Perez,PER,Force India,7,Finished,6.0
2018,11,German Grand Prix,31,Esteban Ocon,OCO,Force India,8,Finished,4.0
2018,11,German Grand Prix,9,Marcus Ericsson,ERI,Sauber,9,Finished,2.0
2018,11,German Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,10,Finished,1.0
2018,11,German Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,11,Finished,0.0
2018,11,German Grand Prix,55,Carlos Sainz,SAI,Renault,12,Finished,0.0
2018,11,German Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,13,Finished,0.0
2018,11,German Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,14,+1 Lap,0.0
2018,11,German Grand Prix,16,Charles Leclerc,LEC,Sauber,15,+1 Lap,0.0
2018,11,German Grand Prix,14,Fernando Alonso,ALO,McLaren,16,Retired,0.0
2018,11,German Grand Prix,18,Lance Stroll,STR,Williams,R,Engine,0.0
2018,11,German Grand Prix,5,Sebastian Vettel,VET,Ferrari,R,Accident,0.0
2018,11,German Grand Prix,35,Sergey Sirotkin,SIR,Williams,R,Engine,0.0
2018,11,German Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,R,Engine,0.0
2018,12,Hungarian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2018,12,Hungarian Grand Prix,5,Sebastian Vettel,VET,Ferrari,2,Finished,18.0
2018,12,Hungarian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,3,Finished,15.0
2018,12,Hungarian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,4,Finished,12.0
2018,12,Hungarian Grand Prix,77,Valtteri Bottas,BOT,Mercedes,5,Finished,10.0
2018,12,Hungarian Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,6,Finished,8.0
2018,12,Hungarian Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,7,+1 Lap,6.0
2018,12,Hungarian Grand Prix,14,Fernando Alonso,ALO,McLaren,8,+1 Lap,4.0
2018,12,Hungarian Grand Prix,55,Carlos Sainz,SAI,Renault,9,+1 Lap,2.0
2018,12,Hungarian Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,10,+1 Lap,1.0
2018,12,Hungarian Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,11,+1 Lap,0.0
2018,12,Hungarian Grand Prix,27,Nico Hulkenberg,HUL,Renault,12,+1 Lap,0.0
2018,12,Hungarian Grand Prix,31,Esteban Ocon,OCO,Force India,13,+1 Lap,0.0
2018,12,Hungarian Grand Prix,11,Sergio Perez,PER,Force India,14,+1 Lap,0.0
2018,12,Hungarian Grand Prix,9,Marcus Ericsson,ERI,Sauber,15,+2 Laps,0.0
2018,12,Hungarian Grand Prix,35,Sergey Sirotkin,SIR,Williams,16,+2 Laps,0.0
2018,12,Hungarian Grand Prix,18,Lance Stroll,STR,Williams,17,+2 Laps,0.0
2018,12,Hungarian Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,R,Gearbox,0.0
2018,12,Hungarian Grand Prix,33,Max Verstappen,VER,Red Bull Racing,R,Power loss,0.0
2018,12,Hungarian Grand Prix,16,Charles Leclerc,LEC,Sauber,R,Suspension,0.0
2018,13,Belgian Grand Prix,5,Sebastian Vettel,VET,Ferrari,1,Finished,25.0
2018,13,Belgian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,2,Finished,18.0
2018,13,Belgian Grand Prix,33,Max Verstappen,VER,Red Bull Racing,3,Finished,15.0
2018,13,Belgian Grand Prix,77,Valtteri Bottas,BOT,Mercedes,4,Finished,12.0
2018,13,Belgian Grand Prix,11,Sergio Perez,PER,Racing Point,5,Finished,10.0
2018,13,Belgian Grand Prix,31,Esteban Ocon,OCO,Racing Point,6,Finished,8.0
2018,13,Belgian Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,7,Finished,6.0
2018,13,Belgian Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,8,Finished,4.0
2018,13,Belgian Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,9,Finished,2.0
2018,13,Belgian Grand Prix,9,Marcus Ericsson,ERI,Sauber,10,+1 Lap,1.0
2018,13,Belgian Grand Prix,55,Carlos Sainz,SAI,Renault,11,+1 Lap,0.0
2018,13,Belgian Grand Prix,35,Sergey Sirotkin,SIR,Williams,12,+1 Lap,0.0
2018,13,Belgian Grand Prix,18,Lance Stroll,STR,Williams,13,+1 Lap,0.0
2018,13,Belgian Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,14,+1 Lap,0.0
2018,13,Belgian Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,15,+1 Lap,0.0
2018,13,Belgian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,R,Retired,0.0
2018,13,Belgian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,R,Brakes,0.0
2018,13,Belgian Grand Prix,16,Charles Leclerc,LEC,Sauber,R,Accident,0.0
2018,13,Belgian Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Accident,0.0
2018,13,Belgian Grand Prix,27,Nico Hulkenberg,HUL,Renault,R,Accident,0.0
2018,14,Italian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2018,14,Italian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,2,Finished,18.0
2018,14,Italian Grand Prix,77,Valtteri Bottas,BOT,Mercedes,3,Finished,15.0
2018,14,Italian Grand Prix,5,Sebastian Vettel,VET,Ferrari,4,Finished,12.0
2018,14,Italian Grand Prix,33,Max Verstappen,VER,Red Bull Racing,5,Finished,10.0
2018,14,Italian Grand Prix,31,Esteban Ocon,OCO,Racing Point,6,Finished,8.0
2018,14,Italian Grand Prix,11,Sergio Perez,PER,Racing Point,7,Finished,6.0
2018,14,Italian Grand Prix,55,Carlos Sainz,SAI,Renault,8,Finished,4.0
2018,14,Italian Grand Prix,18,Lance Stroll,STR,Williams,9,+1 Lap,2.0
2018,14,Italian Grand Prix,35,Sergey Sirotkin,SIR,Williams,10,+1 Lap,1.0
2018,14,Italian Grand Prix,16,Charles Leclerc,LEC,Sauber,11,+1 Lap,0.0
2018,14,Italian Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,12,+1 Lap,0.0
2018,14,Italian Grand Prix,27,Nico Hulkenberg,HUL,Renault,13,+1 Lap,0.0
2018,14,Italian Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,14,+1 Lap,0.0
2018,14,Italian Grand Prix,9,Marcus Ericsson,ERI,Sauber,15,+1 Lap,0.0
2018,14,Italian Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,16,+1 Lap,0.0
2018,14,Italian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,R,Engine,0.0
2018,14,Italian Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Engine,0.0
2018,14,Italian Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,R,Brakes,0.0
2018,14,Italian Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,D,Disqualified,0.0
2018,15,Singapore Grand Prix,44,Lewis Hamilton,HAM,Mercedes,1,Finished,25.0
2018,15,Singapore Grand Prix,33,Max Verstappen,VER,Red Bull Racing,2,Finished,18.0
2018,15,Singapore Grand Prix,5,Sebastian Vettel,VET,Ferrari,3,Finished,15.0
2018,15,Singapore Grand Prix,77,Valtteri Bottas,BOT,Mercedes,4,Finished,12.0
2018,15,Singapore Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,5,Finished,10.0
2018,15,Singapore Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,6,Finished,8.0
2018,15,Singapore Grand Prix,14,Fernando Alonso,ALO,McLaren,7,Finished,6.0
2018,15,Singapore Grand Prix,55,Carlos Sainz,SAI,Renault,8,+1 Lap,4.0
2018,15,Singapore Grand Prix,16,Charles Leclerc,LEC,Sauber,9,+1 Lap,2.0
