season,round,race_name,driver_number,driver_name,abbreviation,team,final_position,status,points_scored
2018,1,Australian Grand Prix,5,Sebastian Vettel,VET,Ferrari,1,Finished,25.0
2018,1,Australian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,2,Finished,18.0
2018,1,Australian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,3,Finished,15.0
2018,1,Australian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull Racing,4,Finished,12.0
2018,1,Australian Grand Prix,14,Fernando Alonso,ALO,McLaren,5,Finished,10.0
2018,1,Australian Grand Prix,33,Max Verstappen,VER,Red Bull Racing,6,Finished,8.0
2018,1,Australian Grand Prix,27,Nico Hulkenberg,HUL,Renault,7,Finished,6.0
2018,1,Australian Grand Prix,77,Valtteri Bottas,BOT,Mercedes,8,Finished,4.0
2018,1,Australian Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,9,Finished,2.0
2018,1,Australian Grand Prix,55,Carlos Sainz,SAI,Renault,10,Finished,1.0
2018,1,Australian Grand Prix,11,Sergio Perez,PER,Force India,11,Finished,0.0
2018,1,Australian Grand Prix,31,Esteban Ocon,OCO,Force India,12,Finished,0.0
2018,1,Australian Grand Prix,16,Charles Leclerc,LEC,Sauber,13,Finished,0.0
2018,1,Australian Grand Prix,18,Lance Stroll,STR,Williams,14,Finished,0.0
2018,1,Australian Grand Prix,28,Brendon Hartley,HAR,Toro Rosso,15,+1 Lap,0.0
2018,1,Australian Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,R,Wheel,0.0
2018,1,Australian Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,R,Wheel,0.0
2018,1,Australian Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,R,Engine,0.0
2018,1,Australian Grand Prix,9,Marcus Ericsson,ERI,Sauber,R,Steering,0.0
2018,1,Australian Grand Prix,35,Sergey Sirotkin,SIR,Williams,R,Brakes,0.0
2018,2,Bahrain Grand Prix,5,Sebastian Vettel,VET,Ferrari,1,Finished,25.0
2018,2,Bahrain Grand Prix,77,Valtteri Bottas,BOT,Mercedes,2,Finished,18.0
2018,2,Bahrain Grand Prix,44,Lewis Hamilton,HAM,Mercedes,3,Finished,15.0
2018,2,Bahrain Grand Prix,10,Pierre Gasly,GAS,Toro Rosso,4,Finished,12.0
2018,2,Bahrain Grand Prix,20,Kevin Magnussen,MAG,Haas F1 Team,5,Finished,10.0
2018,2,Bahrain Grand Prix,27,Nico Hulkenberg,HUL,Renault,6,Finished,8.0
2018,2,Bahrain Grand Prix,14,Fernando Alonso,ALO,McLaren,7,+1 Lap,6.0
2018,2,Bahrain Grand Prix,2,Stoffel Vandoorne,VAN,McLaren,8,+1 Lap,4.0
2018,2,Bahrain Grand Prix,9,Marcus Ericsson,ERI,Sauber,9,+1 Lap,2.0
2018,2,Bahrain Grand Prix,31,Esteban Ocon,OCO,Force India,10,+1 Lap,1.0
2018,2,Bahrain Grand Prix,55,Carlos Sainz,SAI,Renault,11,+1 Lap,0.0
2018,2,Bahrain Grand Prix,16,Charles Leclerc,LEC,Sauber,12,+1 Lap,0.0
