season,round,race_name,driver_number,driver_name,abbreviation,team,final_position,status,points_scored
2016,1,Australian Grand Prix,6,Nico Rosberg,ROS,Mercedes,1,Finished,25.0
2016,1,Australian Grand Prix,44,Lewis Hamilton,HAM,Mercedes,2,Finished,18.0
2016,1,Australian Grand Prix,5,Sebastian Vettel,VET,Ferrari,3,Finished,15.0
2016,1,Australian Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,4,Finished,12.0
2016,1,Australian Grand Prix,19,Felipe Massa,MAS,Williams,5,Finished,10.0
2016,1,Australian Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,6,Finished,8.0
2016,1,Australian Grand Prix,27,Nico Hülkenberg,HUL,Force India,7,Finished,6.0
2016,1,Australian Grand Prix,77,Valtteri Bottas,BOT,Williams,8,Finished,4.0
2016,1,Australian Grand Prix,55,Carlos Sainz,SAI,Toro Rosso,9,Finished,2.0
2016,1,Australian Grand Prix,33,Max Verstappen,VER,Toro Rosso,10,Finished,1.0
2016,1,Australian Grand Prix,30,Jolyon Palmer,PAL,Renault,11,Finished,0.0
2016,1,Australian Grand Prix,20,Kevin Magnussen,MAG,Renault,12,Finished,0.0
2016,1,Australian Grand Prix,11,Sergio Pérez,PER,Force India,13,Finished,0.0
2016,1,Australian Grand Prix,22,Jenson Button,BUT,McLaren,14,+1 Lap,0.0
2016,1,Australian Grand Prix,12,Felipe Nasr,NAS,Sauber,15,+1 Lap,0.0
2016,1,Australian Grand Prix,94,Pascal Wehrlein,WEH,Manor Marussia,16,+1 Lap,0.0
2016,1,Australian Grand Prix,9,Marcus Ericsson,ERI,Sauber,R,Engine,0.0
2016,1,Australian Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,R,Engine,0.0
2016,1,Australian Grand Prix,88,Rio Haryanto,HAR,Manor Marussia,R,Mechanical,0.0
2016,1,Australian Grand Prix,21,Esteban Gutiérrez,GUT,Haas F1 Team,R,Collision,0.0
2016,1,Australian Grand Prix,14,Fernando Alonso,ALO,McLaren,R,Collision,0.0
2016,1,Australian Grand Prix,26,Daniil Kvyat,KVY,Red Bull,W,Retired,0.0
2016,2,Bahrain Grand Prix,6,Nico Rosberg,ROS,Mercedes,1,Finished,25.0
2016,2,Bahrain Grand Prix,7,Kimi Räikkönen,RAI,Ferrari,2,Finished,18.0
2016,2,Bahrain Grand Prix,44,Lewis Hamilton,HAM,Mercedes,3,Finished,15.0
2016,2,Bahrain Grand Prix,3,Daniel Ricciardo,RIC,Red Bull,4,Finished,12.0
2016,2,Bahrain Grand Prix,8,Romain Grosjean,GRO,Haas F1 Team,5,Finished,10.0
2016,2,Bahrain Grand Prix,33,Max Verstappen,VER,Toro Rosso,6,Finished,8.0
2016,2,Bahrain Grand Prix,26,Daniil Kvyat,KVY,Red Bull,7,+1 Lap,6.0
2016,2,Bahrain Grand Prix,19,Felipe Massa,MAS,Williams,8,+1 Lap,4.0
2016,2,Bahrain Grand Prix,77,Valtteri Bottas,BOT,Williams,9,+1 Lap,2.0
2016,2,Bahrain Grand Prix,47,Stoffel Vandoorne,VAN,McLaren,10,+1 Lap,1.0
2016,2,Bahrain Grand Prix,20,Kevin Magnussen,MAG,Renault,11,+1 Lap,0.0
2016,2,Bahrain Grand Prix,9,Marcus Ericsson,ERI,Sauber,12,+1 Lap,0.0
2016,2,Bahrain Grand Prix,94,Pascal Wehrlein,WEH,Manor Marussia,13,+1 Lap,0.0
2016,2,Bahrain Grand Prix,12,Felipe Nasr,NAS,Sauber,14,+1 Lap,0.0
2016,2,Bahrain Grand Prix,27,Nico Hülkenberg,HUL,Force India,15,+1 Lap,0.0
2016,2,Bahrain Grand Prix,11,Sergio Pérez,PER,Force India,16,+1 Lap,0.0
